,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres,Genre_NR,Genre
15888,tm164353,MOVIE,2011,143,"6,8",16473.0,"7,268","6,7","drama, action, crime",genres.3,crime
15889,tm68436,MOVIE,2012,151,"8,1",80643.0,"9,311","7,5","drama, comedy, romance",genres.3,romance
15890,tm176111,MOVIE,2011,128,"5,9",1741.0,"3,909","6,2","drama, comedy, romance",genres.3,romance
15891,tm183176,MOVIE,2011,90,"4,7",1018.0,"7,395","6,3","drama, family, sport",genres.3,sport
15892,tm178106,MOVIE,2011,140,"7,5",7686.0,"4,453",7,"drama, comedy, family",genres.3,family
15893,tm48239,MOVIE,2012,110,"5,8",6754.0,"3,478","5,5","drama, comedy, romance",genres.3,romance
15894,ts32561,SHOW,2011,46,"6,9",140.0,"4,876","7,3","drama, comedy, romance",genres.3,romance
15895,tm159623,MOVIE,2011,104,"5,9",309.0,"1,641",4,"drama, thriller, romance",genres.3,romance
15896,ts39465,SHOW,2012,44,"6,8",14.0,"1,4",6,"drama, comedy, romance",genres.3,romance
15897,ts37864,SHOW,2011,47,7,142.0,"1,355",7,"drama, romance, history",genres.3,history
15898,ts20110,SHOW,2013,58,"8,8",485506.0,"971,727","8,6","drama, crime, european",genres.3,european
15899,ts1639,SHOW,2013,43,8,238138.0,"279,921","7,5","drama, crime, thriller",genres.3,thriller
15900,tm169422,MOVIE,2013,126,8,586679.0,"29,436","7,9","drama, romance, scifi",genres.3,scifi
15901,ts8146,SHOW,2014,42,"7,6",242221.0,"224,641","7,9","drama, action, scifi",genres.3,scifi
15902,ts21374,SHOW,2014,43,"8,1",146712.0,"59,834","7,9","drama, thriller, crime",genres.3,crime
15903,ts14583,SHOW,2014,26,"8,8",143584.0,"92,62","8,6","drama, comedy, animation",genres.3,animation
15904,ts20823,SHOW,2013,59,"8,1",295591.0,"72,825","7,7","drama, comedy, crime",genres.3,crime
15905,ts35682,SHOW,2013,46,"8,6",21747.0,"29,782","8,1","drama, crime, thriller",genres.3,thriller
15906,ts2727,SHOW,2013,26,"8,1",31976.0,"9,748","7,5","drama, comedy, european",genres.3,european
15907,ts35282,SHOW,2013,24,"5,9",1928.0,"21,631","7,2","drama, romance, family",genres.3,family
15908,tm469911,MOVIE,2013,240,,,"0,933","7,5","drama, crime, european",genres.3,european
15909,ts32060,SHOW,2013,24,"5,6",9507.0,"37,963","7,9","drama, family, comedy",genres.3,comedy
15910,tm71148,MOVIE,2013,112,"6,4",28204.0,"7,824","5,9","drama, comedy, romance",genres.3,romance
15911,ts22445,SHOW,2013,59,"7,5",10329.0,"54,729","7,8","drama, comedy, romance",genres.3,romance
