,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,countries,Country_NR,Country
4364,tm430090,MOVIE,2018,107,"5,9",719.0,"22,156","6,9",PY,production_countries.1,PY
4365,ts82887,SHOW,2018,24,"6,8",102.0,"5,757","7,3",JP,production_countries.1,JP
4366,tm413129,MOVIE,2018,155,"6,7",799.0,"5,421","6,9",PH,production_countries.1,PH
4367,tm420311,MOVIE,2018,115,"6,4",604.0,"5,923","7,2",BR,production_countries.1,BR
4368,tm449860,MOVIE,2018,169,"6,1",404.0,"3,082","6,4",NG,production_countries.1,NG
4369,tm434179,MOVIE,2018,116,"6,4",677.0,"2,607","6,8",ES,production_countries.1,ES
4370,tm415938,MOVIE,2018,102,"6,2",135.0,"1,247","5,7",MX,production_countries.1,MX
4371,tm431760,MOVIE,2018,100,"6,8",2964.0,"19,295","7,7",MY,production_countries.1,MY
4372,tm444564,MOVIE,2018,150,"4,9",112.0,"3,723",5,MX,production_countries.1,MX
4373,tm409376,MOVIE,2018,100,"5,4",1179.0,"9,318","5,1",CO,production_countries.1,CO
4374,tm436171,MOVIE,2018,122,"5,2",723.0,"3,91","4,9",AR,production_countries.1,AR
4376,tm422359,MOVIE,2018,110,"4,3",603.0,"3,905",5,PH,production_countries.1,PH
4377,tm431275,MOVIE,2018,96,"6,8",593.0,"1,084","7,6",EG,production_countries.1,EG
4378,tm444821,MOVIE,2018,92,"4,5",767.0,"6,368","4,2",IT,production_countries.1,IT
4379,tm435333,MOVIE,2018,102,"6,8",55.0,"2,918",1,JP,production_countries.1,JP
4380,tm684591,MOVIE,2018,100,"5,8",9.0,"0,891",2,AE,production_countries.1,AE
4381,tm434126,MOVIE,2018,62,"6,5",214.0,"2,171","6,7",BR,production_countries.1,BR
4382,tm431081,MOVIE,2018,95,"5,7",1444.0,"4,696",6,NG,production_countries.1,NG
4383,tm420800,MOVIE,2018,95,"5,4",1726.0,"8,15","5,1",FR,production_countries.1,FR
4384,ts80692,SHOW,2018,45,"6,6",210.0,"0,6","5,7",JP,production_countries.1,JP
4386,tm373134,MOVIE,2018,100,"5,4",1282.0,"1,997","3,6",TR,production_countries.1,TR
4387,ts81857,SHOW,2018,32,"6,4",816.0,"4,798","7,8",MX,production_countries.1,MX
4388,tm430660,MOVIE,2018,104,"6,3",1654.0,"3,387","5,7",MY,production_countries.1,MY
4389,tm430059,MOVIE,2018,117,"6,7",2695.0,"4,045","6,9",PH,production_countries.1,PH
4391,ts84985,SHOW,2018,22,"6,6",92.0,"7,167","8,3",GB,production_countries.1,GB
4392,tm371622,MOVIE,2018,50,"5,7",360.0,"3,202","5,3",AR,production_countries.1,AR
4393,tm464947,MOVIE,2018,98,"4,7",269.0,"2,748","5,6",NG,production_countries.1,NG
4394,tm439678,MOVIE,2018,93,"4,7",68.0,"8,878","5,3",AR,production_countries.1,AR
4395,tm446558,MOVIE,2018,105,"6,2",4384.0,"3,732","5,6",TR,production_countries.1,TR
4396,tm366383,MOVIE,2018,106,"4,7",2554.0,"4,645","5,7",TR,production_countries.1,TR
4397,ts86302,SHOW,2018,30,"7,8",129.0,"5,449",6,ID,production_countries.1,ID
4398,tm426238,MOVIE,2018,120,"6,7",594.0,"1,532","5,9",MY,production_countries.1,MY
4399,tm404449,MOVIE,2018,80,"7,4",204.0,"5,503","6,6",MX,production_countries.1,MX
4400,tm423802,MOVIE,2018,66,"7,5",1516.0,"1,83","7,4",AR,production_countries.1,AR
4401,tm442805,MOVIE,2018,116,"5,8",3217.0,"3,115","6,2",TR,production_countries.1,TR
4402,tm430666,MOVIE,2018,111,"5,6",677.0,"2,209","6,9",MY,production_countries.1,MY
4403,tm408781,MOVIE,2018,155,"7,3",3569.0,"3,782","7,6",PK,production_countries.1,PK
4404,tm349418,MOVIE,2018,90,"5,5",276.0,"2,243","4,4",NG,production_countries.1,NG
4405,tm446104,MOVIE,2018,114,"3,6",212.0,"1,688","6,1",PH,production_countries.1,PH
4406,tm373864,MOVIE,2018,60,"6,1",121.0,"1,156","5,5",AR,production_countries.1,AR
4407,tm417488,MOVIE,2018,104,"6,1",987.0,"1,558","5,6",EG,production_countries.1,EG
4408,tm445258,MOVIE,2018,102,"6,2",180.0,"1,4",7,XX,production_countries.1,XX
4409,tm433215,MOVIE,2018,104,"6,4",267.0,"1,256","8,2",PH,production_countries.1,PH
4410,tm466084,MOVIE,2018,93,"6,8",43.0,"0,973","9,3",FR,production_countries.1,FR
4411,tm430459,MOVIE,2018,87,"3,4",48.0,"18,818","5,3",MX,production_countries.1,MX
4412,tm370781,MOVIE,2018,76,"5,1",82.0,"1,874","7,3",CL,production_countries.1,CL
4413,tm368284,MOVIE,2018,62,4,42.0,"1,4",4,CO,production_countries.1,CO
4414,tm375836,MOVIE,2018,59,"5,5",144.0,"1,76",7,LB,production_countries.1,LB
4415,tm367105,MOVIE,2018,60,"4,9",69.0,"1,132",5,CO,production_countries.1,CO
4416,tm370472,MOVIE,2018,53,"5,9",232.0,"1,431","4,6",XX,production_countries.1,XX
4417,tm369453,MOVIE,2018,57,"6,7",80.0,"1,414","6,2",MX,production_countries.1,MX
4418,tm426367,MOVIE,2018,56,"6,6",39.0,"1,4",7,MX,production_countries.1,MX
4419,tm438005,MOVIE,2018,122,6,149.0,"1,572","5,9",PH,production_countries.1,PH
4420,tm416134,MOVIE,2018,63,"6,3",57.0,"1,179","6,5",AR,production_countries.1,AR
4421,tm369210,MOVIE,2018,58,"6,3",104.0,"1,279",7,CO,production_countries.1,CO
4422,tm371741,MOVIE,2018,89,"4,6",216.0,"6,87","5,8",CO,production_countries.1,CO
4423,tm459527,MOVIE,2018,104,"4,4",1796.0,"2,709","2,4",TR,production_countries.1,TR
4424,tm440324,MOVIE,2018,87,"4,8",53.0,"2,312",6,CO,production_countries.1,CO
4425,tm450512,MOVIE,2018,124,"6,3",521.0,"1,235",9,PK,production_countries.1,PK
4426,tm458074,MOVIE,2018,79,"5,2",20.0,"1,4",5,BR,production_countries.1,BR
4427,tm440208,MOVIE,2018,85,"7,6",8.0,"1,536",,TZ,production_countries.1,TZ
4428,tm423593,MOVIE,2018,106,"7,2",765.0,"2,023","6,6",ID,production_countries.1,ID
4429,tm438105,MOVIE,2018,76,"4,2",42.0,"1,301","4,5",CZ,production_countries.1,CZ
4430,tm471288,MOVIE,2018,93,"6,6",63.0,"0,6",,ZA,production_countries.1,ZA
4431,tm404828,MOVIE,2018,63,"5,3",53.0,"0,793","6,3",KR,production_countries.1,KR
4432,tm444799,MOVIE,2018,80,"5,3",1428.0,"3,677","5,3",CA,production_countries.1,CA
4433,tm479933,MOVIE,2018,97,"6,3",35.0,"1,4",,XX,production_countries.1,XX
4434,tm371188,MOVIE,2018,102,"6,9",695.0,"1,96","6,8",ID,production_countries.1,ID
4435,tm369452,MOVIE,2018,49,"6,4",105.0,"1,009","6,5",AR,production_countries.1,AR
4436,tm445852,MOVIE,2018,106,"6,8",109.0,"1,755",10,XX,production_countries.1,XX
4437,tm452767,MOVIE,2018,157,"4,6",159.0,"1,423","3,8",XX,production_countries.1,XX
4438,ts85660,SHOW,2018,34,"5,9",134.0,"4,711","6,4",KR,production_countries.1,KR
4440,ts58061,SHOW,2018,44,"5,9",16.0,"5,081","2,7",CN,production_countries.1,CN
4441,tm834886,MOVIE,2018,72,"5,8",17.0,,,KW,production_countries.1,KW
4442,tm438423,MOVIE,2018,92,"6,7",94.0,"1,595",2,PH,production_countries.1,PH
4443,tm428877,MOVIE,2018,100,"4,9",854.0,"0,846","5,1",TR,production_countries.1,TR
4444,tm478967,MOVIE,2018,78,"6,9",717.0,"0,718",,AE,production_countries.1,AE
4445,tm369456,MOVIE,2018,60,"4,3",56.0,"1,382","4,5",XX,production_countries.1,XX
4446,tm476959,MOVIE,2018,100,"7,1",695.0,"1,534",6,LB,production_countries.1,LB
4447,ts84372,SHOW,2018,27,"6,9",204.0,"3,381","7,1",KR,production_countries.1,KR
4448,tm362878,MOVIE,2018,109,7,3294.0,"3,248","7,5",ID,production_countries.1,ID
4449,tm407881,MOVIE,2018,74,"5,8",132.0,"4,436","6,9",FR,production_countries.1,FR
4450,tm465864,MOVIE,2018,115,4,91.0,"0,679",5,AE,production_countries.1,AE
4451,tm491499,MOVIE,2018,91,"5,9",35.0,,,AE,production_countries.1,AE
4452,tm433087,MOVIE,2018,102,"5,1",40.0,"1,094","7,5",MY,production_countries.1,MY
4453,tm421125,MOVIE,2018,96,"5,4",1608.0,"2,828","7,1",EG,production_countries.1,EG
4454,tm458186,MOVIE,2018,95,"7,4",1017.0,"1,138",6,BD,production_countries.1,BD
4455,tm478701,MOVIE,2018,137,"6,7",146.0,"0,936",,NG,production_countries.1,NG
4456,tm426260,MOVIE,2018,85,"6,9",415.0,"2,492","7,4",ID,production_countries.1,ID
4457,tm1146751,MOVIE,2018,85,7,23.0,,,TZ,production_countries.1,TZ
4458,ts220305,SHOW,2021,54,8,416738.0,"272,707","7,8",KR,production_countries.1,KR
4459,ts281927,SHOW,2021,47,"6,9",28669.0,"12,185","7,2",GB,production_countries.1,GB
4460,ts296046,SHOW,2021,46,"7,5",100575.0,"80,767","7,9",FR,production_countries.1,FR
4461,ts102086,SHOW,2021,50,"7,2",57514.0,"27,95","7,6",GB,production_countries.1,GB
4462,tm991529,MOVIE,2021,130,"7,4",30235.0,"42,813","7,6",IT,production_countries.1,IT
4463,tm983784,MOVIE,2021,93,"5,7",4049.0,"33,096","5,9",NZ,production_countries.1,NZ
4464,ts232107,SHOW,2021,45,"6,9",18548.0,"138,542",8,KR,production_countries.1,KR
4465,ts251675,SHOW,2021,52,"6,6",22107.0,"218,433","7,6",KR,production_countries.1,KR
4466,ts286731,SHOW,2021,24,"7,8",4358.0,"344,515","7,6",JP,production_countries.1,JP
4467,tm1110527,MOVIE,2021,86,"5,5",960.0,"10,233","6,6",NL,production_countries.1,NL
4468,tm1046026,MOVIE,2021,113,"6,9",19706.0,"79,627","6,7",NO,production_countries.1,NO
4470,ts296472,SHOW,2021,55,"7,7",41253.0,"65,023","7,7",DK,production_countries.1,DK
4471,tm1022103,MOVIE,2021,125,"6,9",3722.0,"96,602",7,ES,production_countries.1,ES
4472,ts229335,SHOW,2021,29,"6,8",3709.0,"2,972","6,4",SE,production_countries.1,SE
4473,ts287976,SHOW,2021,45,"8,3",26732.0,"29,825","8,9",SE,production_countries.1,SE
4474,tm855839,MOVIE,2021,107,"7,3",8270.0,"44,074","7,6",DK,production_countries.1,DK
4475,ts95572,SHOW,2021,57,"7,6",41782.0,"29,419","7,6",GB,production_countries.1,GB
4476,ts287352,SHOW,2021,49,"7,1",8367.0,"1,4","7,5",IL,production_countries.1,IL
4477,ts237972,SHOW,2021,46,7,13095.0,"73,252","7,2",IS,production_countries.1,IS
4478,tm817075,MOVIE,2021,139,"6,2",3383.0,"16,281","6,2",PL,production_countries.1,PL
