id;type;release_year;runtime;imdb_score;imdb_votes;tmdb_popularity;tmdb_score;countries;production_countries.1;production_countries.2;production_countries.3;production_countries.4;production_countries.5;production_countries.6;production_countries.7
ts86169;SHOW;2018;47;7,3;5883;7,434;7;US;US;;;;;;
ts77957;SHOW;2018;63;8,1;9099;18,126;7,2;US;US;;;;;;
ts82302;SHOW;2018;46;6,5;27275;96,678;7,9;US;US;;;;;;
ts84533;SHOW;2018;11;6,5;350;10,637;7,4;US;US;;;;;;
ts79234;SHOW;2018;23;6,4;3595;47,064;7;US;US;;;;;;
ts77824;SHOW;2018;55;7,9;5194;10,016;7,5;US;US;;;;;;
ts84779;SHOW;2018;25;4,6;3150;14,069;7;US;US;;;;;;
ts84574;SHOW;2018;40;7,7;2419;2,923;8,4;US;US;;;;;;
ts85138;SHOW;2018;50;8;1269;2,44;8,3;US;US;;;;;;
ts83251;SHOW;2018;24;7,1;3316;11,61;6,8;US;US;;;;;;
ts79422;SHOW;2018;33;7,4;4682;9,333;7,5;US;US;;;;;;
ts78382;SHOW;2018;29;7,9;15642;45,081;8,5;US;US;;;;;;
ts78507;SHOW;2018;25;7,4;4687;42,726;8,6;US;US;;;;;;
ts57464;SHOW;2018;42;6,4;3855;8,064;6,5;US;US;;;;;;
ts78231;SHOW;2018;45;7,8;7651;17,234;7,1;US;US;;;;;;
ts81885;SHOW;2018;49;6,9;5620;6,913;6,4;US;US;;;;;;
ts77799;SHOW;2018;56;7,2;3675;7,357;7,4;US;US;;;;;;
ts86945;SHOW;2018;20;6,1;163;7,629;5,5;US;US;;;;;;
ts86814;SHOW;2018;49;6,8;3045;2,988;7;US;US;;;;;;
ts83745;SHOW;2018;35;8,6;3473;4,609;8,2;US;US;;;;;;
ts82372;SHOW;2018;24;6,7;879;11,325;8,8;US;US;;;;;;
ts79045;SHOW;2018;51;7,8;3505;7,038;7,4;US;US;;;;;;
ts78299;SHOW;2018;15;6,5;270;3,459;7,8;US;US;;;;;;
ts9075;SHOW;2018;29;7;1895;2,243;6,4;US;US;;;;;;
ts95569;SHOW;2018;22;5,8;187;5,692;10;US;US;;;;;;
ts90594;SHOW;2018;22;6,7;525;34,003;8,1;US;US;;;;;;
ts85034;SHOW;2018;25;8,2;7222;9,602;7,3;US;US;;;;;;
ts81918;SHOW;2018;51;7;1508;13,058;7;US;US;;;;;;
ts83540;SHOW;2018;27;6,8;17779;39,351;7,6;US;US;;;;;;
ts84645;SHOW;2018;55;8,2;1687;8,526;8,7;US;US;;;;;;
ts321277;SHOW;2018;60;8,5;3387;3,355;8,4;US;US;;;;;;
ts85967;SHOW;2018;34;7,7;1145;1,542;7,8;US;US;;;;;;
ts86682;SHOW;2018;50;6,8;531;2,621;9;US;US;;;;;;
ts83906;SHOW;2018;39;8,4;10024;8,898;7,8;US;US;;;;;;
ts92825;SHOW;2018;22;6,2;244;5,651;7,3;US;US;;;;;;
ts80519;SHOW;2018;25;5,2;372;11,907;8,6;US;US;;;;;;
ts79219;SHOW;2018;45;7,9;3633;2,712;7,6;US;US;;;;;;
ts103638;SHOW;2018;25;5,7;390;1,872;7,7;US;US;;;;;;
ts80313;SHOW;2018;61;8,1;1759;4,283;8,3;US;US;;;;;;
ts90994;SHOW;2018;15;6,4;155;12,51;9,8;US;US;;;;;;
ts85659;SHOW;2018;22;7,7;5927;17,34;7,7;US;US;;;;;;
ts84597;SHOW;2018;42;7,6;806;5,053;6,9;US;US;;;;;;
