id;type;release_year;runtime;genres;genres.1;genres.2;genres.3;genres.4;genres.5;genres.6;genres.7;genres.8;genres.9;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
ts223454;SHOW;2019;48;;;;;;;;;;;;;0,768;8
tm847212;MOVIE;2019;150;thriller;thriller;;;;;;;;;;;2,432;6,4
ts314529;SHOW;2020;12;;;;;;;;;;;;;1,497;
tm881973;MOVIE;2020;23;animation;animation;;;;;;;;;;;1,162;
tm830994;MOVIE;2019;64;animation;animation;;;;;;;;;;;1,581;7,5
tm1080109;MOVIE;2020;114;action;action;;;;;;;;;;;2,447;4
tm920599;MOVIE;2020;24;animation;animation;;;;;;;;;;;2,458;6,5
tm941493;MOVIE;2020;33;animation;animation;;;;;;;;;;;5,264;8
tm843143;MOVIE;2020;97;romance;romance;;;;;;;;;;;2,267;6,4
tm887376;MOVIE;2020;42;animation;animation;;;;;;;;;;;2,112;6
tm1026231;MOVIE;2020;84;music;music;;;;;;;;;;;2,084;7
tm953122;MOVIE;2020;26;animation;animation;;;;;;;;;;;1,29;5
ts251783;SHOW;2020;13;;;;;;;;;;;;;3,332;9,3
tm810357;MOVIE;2019;23;;;;;;;;;;;;;0,854;7
tm860204;MOVIE;2019;117;romance;romance;;;;;;;;;;;2,611;6,9
tm844236;MOVIE;2019;45;animation;animation;;;;;;;;;;;3,499;6,4
tm1073424;MOVIE;2019;79;;;;;;;;;;;;;0,966;10
tm918959;MOVIE;2020;20;animation;animation;;;;;;;;;;;1,285;2,7
tm936519;MOVIE;2020;106;romance;romance;;;;;;;;;;;1,54;5,8
tm840152;MOVIE;2019;6;thriller;thriller;;;;;;;;;;;0,731;6
tm1030742;MOVIE;2020;14;;;;;;;;;;;;;0,6;6
tm855232;MOVIE;2019;71;;;;;;;;;;;;;1,38;7,8
tm942492;MOVIE;2020;25;animation;animation;;;;;;;;;;;4,43;7,6
tm888850;MOVIE;2020;118;action;action;;;;;;;;;;;1,809;6
tm896976;MOVIE;2020;23;animation;animation;;;;;;;;;;;3,517;10
tm1080554;MOVIE;2020;87;;;;;;;;;;;;;0,6;
tm1028068;MOVIE;2020;51;music;music;;;;;;;;;;;0,6;
ts223078;SHOW;2019;31;reality;reality;;;;;;;;;;;3,026;7,1
